"x" "y" "z"
"334" 1.59 51.52 22.9593750238419
"335" 1.59 51.53 23.5789999008179
"336" 1.59 51.54 24.3300000190735
"337" 1.59 51.55 24.7090000152588
"338" 1.59 51.56 25.4620000839233
"339" 1.59 51.57 23.6875
"340" 1.59 51.58 19.6665002346039
"341" 1.59 51.59 4.73700001239777
"342" 1.59 51.6 2.3040000025183
"343" 1.59 51.61 7.00750000476837
"344" 1.59 51.62 6.50812497735023
"345" 1.59 51.63 6.35999999046326
"346" 1.59 51.64 7.30250008106232
"347" 1.59 51.65 14.4575000762939
"348" 1.59 51.66 18.7979999542236
"349" 1.59 51.67 17.9606249332428
"350" 1.59 51.68 17.5510001182556
"351" 1.59 51.69 16.3310000419617
"352" 1.59 51.7 15.9554999351501
"353" 1.59 51.71 18.5920001506805
"354" 1.59 51.72 19.0324999094009
"355" 1.59 51.73 12.4180000305176
"356" 1.59 51.74 8.02600004673004
"357" 1.59 51.75 7.92350008487701
"358" 1.59 51.76 7.83699991703033
"359" 1.59 51.77 7.94624994695187
"360" 1.59 51.78 9.65850007534027
"361" 1.59 51.79 17.6145001411438
"362" 1.59 51.8 16.8019999504089
"363" 1.59 51.81 17.477499961853
"364" 1.59 51.82 16.3318750858307
"365" 1.59 51.83 15.9809999465942
"366" 1.59 51.84 16.2685000896454
"367" 1.59 51.85 18.5899998188019
"368" 1.59 51.86 21.0494998931885
"369" 1.59 51.87 19.6293748617172
"370" 1.59 51.88 18.2659998893738
"371" 1.59 51.89 16.0814998149872
"372" 1.59 51.9 14.4869999885559
"373" 1.59 51.91 12.9380000829697
"374" 1.59 51.92 4.74562495946884
"375" 1.59 51.93 5.35350000858307
"376" 1.59 51.94 12.9434999465942
"377" 1.59 51.95 14.9195001602173
"378" 1.59 51.96 15.1070000171661
"379" 1.59 51.97 15.5081249475479
"380" 1.59 51.98 16.0110002994537
"381" 1.59 51.99 14.6370000362396
"382" 1.59 52 14.2735000133514
"383" 1.59 52.01 16.3970000743866
"384" 1.59 52.02 12.2387498915195
"385" 1.59 52.03 11.0374999523163
"386" 1.59 52.04 16.1934999465942
"387" 1.59 52.05 17.4500002861023
"388" 1.6 50.77 2.37333335081736
"389" 1.6 50.78 NA
"390" 1.6 50.79 NA
"391" 1.6 50.8 NA
"392" 1.6 50.81 NA
"393" 1.6 50.82 NA
"394" 1.6 50.83 NA
"395" 1.6 50.84 NA
"396" 1.6 50.85 NA
"397" 1.6 50.86 NA
"398" 1.6 50.87 NA
"399" 1.6 50.88 1.55640000402927
"400" 1.6 50.89 11.4719998502731
"401" 1.6 50.9 19.0719998931885
"402" 1.6 50.91 23.383999786377
"403" 1.6 50.92 25.2599998474121
"404" 1.6 50.93 29.6799998474121
"405" 1.6 50.94 30.6960001373291
"406" 1.6 50.95 34.0640001678467
"407" 1.6 50.96 45.1920004272461
"408" 1.6 50.97 45.2400005340576
"409" 1.6 50.98 37.7976007080078
"410" 1.6 50.99 39.7640003967285
"411" 1.6 51 40.3559999084473
"412" 1.6 51.01 40.2596000671387
"413" 1.6 51.02 43.4205001831055
"414" 1.6 51.03 40.8252001953125
"415" 1.6 51.04 35.3460000610352
"416" 1.6 51.05 34.14
"417" 1.6 51.06 34.5940002441406
"418" 1.6 51.07 33.9349998474121
"419" 1.6 51.08 32.4599999237061
"420" 1.6 51.09 33.5491998291016
"421" 1.6 51.1 40.0323999023437
"422" 1.6 51.11 46.1196000671387
"423" 1.6 51.12 44.7069999694824
"424" 1.6 51.13 43.8355999755859
"425" 1.6 51.14 44.2492002868652
"426" 1.6 51.15 45.1536000061035
"427" 1.6 51.16 47.9043997192383
"428" 1.6 51.17 49.4279998779297
"429" 1.6 51.18 50.2576000976563
"430" 1.6 51.19 50.4247996520996
"431" 1.6 51.2 50.4079997253418
"432" 1.6 51.21 50.351199798584
"433" 1.6 51.22 50.1999996185303
"434" 1.6 51.23 49.5391995239258
"435" 1.6 51.24 49.4231996154785
"436" 1.6 51.25 39.2003995513916
"437" 1.6 51.26 32.1699999237061
"438" 1.6 51.27 26.8380000114441
"439" 1.6 51.28 23.2452001953125
"440" 1.6 51.29 19.902799911499
"441" 1.6 51.3 18.9360001373291
"442" 1.6 51.31 19.3931998443604
"443" 1.6 51.32 17.116999912262
"444" 1.6 51.33 16.4788000488281
"445" 1.6 51.34 19.0231999969482
"446" 1.6 51.35 18.8740000152588
"447" 1.6 51.36 17.828399887085
"448" 1.6 51.37 16.295500087738
"449" 1.6 51.38 16.1735998916626
"450" 1.6 51.39 16.0024001312256
"451" 1.6 51.4 15.9860000228882
"452" 1.6 51.41 15.3119998931885
"453" 1.6 51.42 16.4969999313354
"454" 1.6 51.43 19.9779998779297
"455" 1.6 51.44 19.872799987793
"456" 1.6 51.45 21.0479998779297
"457" 1.6 51.46 21.9056001281738
