"Deployment_fk"	"Time"	"Species"	"Milliseconds"	"Number_clicks_filtered"	"Number_clicks_total"	"Lost_minutes"	"Recorded"	"Dpm"	"Dp10m"	"Station"	"Latitude"	"Longitude"	"Mooring_type"	"Receiver"
2578	2016-01-05 17:00:00	"NBHF"	1498	359	4428	0	60	12	3	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-05 18:00:00	"NBHF"	9073	817	6274	0	60	19	4	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-05 19:00:00	"NBHF"	19467	916	11994	0	60	14	4	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-05 20:00:00	"NBHF"	68234	1136	9493	0	60	19	5	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-05 21:00:00	"NBHF"	7182	258	3728	0	60	6	1	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-05 22:00:00	"NBHF"	44889	1250	6735	0	60	14	3	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-05 23:00:00	"NBHF"	46218	4050	25803	3	60	34	5	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-06 00:00:00	"NBHF"	2206	74	3111	0	60	6	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-06 01:00:00	"NBHF"	2665	53	3428	0	60	7	4	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-06 02:00:00	"NBHF"	26489	712	7967	0	60	18	3	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-06 03:00:00	"NBHF"	84517	3083	19836	1	60	46	6	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-06 04:00:00	"NBHF"	109225	3558	23177	1	60	33	4	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-06 05:00:00	"NBHF"	46296	2023	13565	1	60	23	5	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-06 06:00:00	"NBHF"	103223	2602	27558	2	60	29	5	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-06 07:00:00	"NBHF"	42454	1118	13467	0	60	19	3	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-06 08:00:00	"NBHF"	0	0	1698	0	60	0	0	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-06 09:00:00	"NBHF"	12877	268	3964	0	60	11	4	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-06 10:00:00	"NBHF"	15179	745	15596	2	60	14	4	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-06 11:00:00	"NBHF"	48857	1180	12448	0	60	18	5	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-06 12:00:00	"NBHF"	25686	918	9908	0	60	25	6	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-06 13:00:00	"NBHF"	68308	2162	15084	0	60	33	6	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-06 14:00:00	"NBHF"	37724	1216	7344	0	60	18	5	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-06 15:00:00	"NBHF"	4243	106	2277	0	60	2	1	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-06 16:00:00	"NBHF"	6151	252	3256	0	60	9	4	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-06 17:00:00	"NBHF"	18556	1667	26033	2	60	27	3	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-06 18:00:00	"NBHF"	18680	1668	15045	0	60	30	5	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-06 19:00:00	"NBHF"	3577	115	4229	0	60	6	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-06 20:00:00	"NBHF"	36920	1315	11460	0	60	26	5	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-06 21:00:00	"NBHF"	16451	703	5623	0	60	23	6	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-06 22:00:00	"NBHF"	26532	1566	8950	0	60	33	6	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-06 23:00:00	"NBHF"	17206	662	6978	0	60	27	6	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-07 00:00:00	"NBHF"	266891	8581	91524	6	60	75	6	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-07 01:00:00	"NBHF"	258209	6791	69823	2	60	80	6	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-07 02:00:00	"NBHF"	122521	4597	36883	0	60	68	6	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-07 03:00:00	"NBHF"	97052	3298	22854	0	60	68	6	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-07 04:00:00	"NBHF"	126422	3872	30345	0	60	70	6	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-07 05:00:00	"NBHF"	106340	3413	33952	1	60	59	6	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-07 06:00:00	"NBHF"	100869	3547	33501	0	60	49	5	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-07 07:00:00	"NBHF"	11726	355	4402	0	60	17	3	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-07 08:00:00	"NBHF"	7907	329	7390	0	60	12	3	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-07 09:00:00	"NBHF"	3112	17	2302	0	60	1	1	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
2578	2016-01-07 10:00:00	"NBHF"	2254	69	2666	0	60	4	2	"bpns-Reefballs Belwind"	51.704417	2.812594	"bottom-mooring"	"POD-2729"
